,short_code,word
0,AMA,Ask Me Anything
1,ASAP,As Soon As Possible
2,BAE,Before Anyone Else
3,BBIAB,Be Back In A Bit
4,BBL,Be Back Later
5,BBS,Be Back Soon
6,BC,Because
7,BF,Boyfriend
8,BFF,Best Friends Forever
9,BFFL,Best Friends for Life
10,BRB,Be Right Back
11,BTS,Be Right Back
12,BTW,By The Way
13,CMV,Change My View
14,CYA,See You
15,DM,Direct Message
16,DS,Dear Son
17,DYK,Did You Know
18,ELI5,Explain It To Me Like I’m Five
19,FAQ,Frequently Asked Questions
20,FB,Facebook
21,FBF,Flash Back Friday
22,FITBLR,Fitbit users who run fitness-related blogs
23,FLBP,Future Lower Back Problems
24,FOMO,Fear Of Missing Out
25,FTFY,Fixed That For You
26,FTW,For the Win
27,FWIW,For What It’s Worth
28,FYI,For Your Information
29,G+,Google+
30,G2G,Got to Go
31,GF,Girlfriend
32,GOAT,Greatest Of All Time
33,GR8,Great
34,HML,Hate My Life
35,HMU,Hit Me Up
36,HRU,How are you?
37,HTH,Hope This Helps
38,H/T,Hat Tip
39,ICYMI,In Case You Missed It
40,IDK,I Don't Know
41,IG,Instagram
42,IGHT,Alright
43,IKR,I Know Right
44,ILU,I Love You
45,ILY,I Love You
46,IMO,In My Opinion
47,IMY,I miss you.
48,IRL,In Real Life
49,ISO,In Search Of
50,ISTG,I Swear to God
51,JK,Just Kidding
52,JMHO,Just My Humble Opinion
53,JTM,Just the Messenger
54,KK,Okay
55,KTHX,OK Thanks
56,L8R,Later
57,LMAO,"Laugh My ""A-Word"" Off"
58,LMK,Let Me Know
59,LOL,Laugh Out Loud
60,MRW,My Reaction When
61,"MT,",Modified Tweet
62,MWF,Monday Wednesday Friday
63,NBD,No Big Deal
64,NVM,Nevermind
65,NOOB,Newcomer
66,NP,No Problem
67,NSFW,Not Safe for Work
68,Obvs,Obviously
69,OC,Original Content
70,OG,Original Gangster
71,OH,Overhead
72,OP,Original Poster
73,OOAK,One of a Kind
74,OFC,Of course
75,OMG,Oh My God
76,OMW,On My Way
77,ORLY,Oh Really?
78,OTOH,On the Other Hand
79,Pls,Please
80,Plz,Please
81,PM,Private Message
82,PRT,Partial Retweet
83,PS,Picture Story
84,RN,Right Now
85,ROFL,Roll On the Floor Laughing
86,RT,Retweet
87,RUH,Are Your Horney
88,SFW,Safe for Work
89,SMH,Shaking My Head
90,SOML,Story of My Life
91,SOZ,Sorry
92,SRSLY,Seriously
93,TBH,To Be Honest
94,TBT,Throwback Thursday
95,TFTI,Thanks for the Invite
96,TFTF,Thanks For The Follow
97,TGIF,Thank God It’s Friday
98,TIL,Today I Learned
99,TLDR,Too Long Didn’t Read
100,TMI,Too Much Information
101,TTFN,Ta-ta for now
102,TTYL,Talk to You Later
103,TTKU,Try To Keep Up
104,TFW,That Feeling When
105,TWSS,That's What She Said
106,TW,Twitter
107,TY,"TY,Thank You"
108,U,You
109,W/,With
110,WB,Welcome Back
111,WBU,What About You
112,WBW,Wayback Wednesday
113,WCW,Woman Crush Wednesday
114,WDYM,What Do You Mean
115,W/O,Without
116,WFH,Working From Home
117,WYD,What You Doing
118,WTH,What the Hell?
119,WYM,What You Mean?
120,WYSIWYG,What You See Is What You Get
121,Y,Why
122,YMMV,Your Mileage May vary
123,YOLO,You Only Live Once
124,YT,YouTube
125,YW,You're Welcome
126,YWA,You're Welcome Anyway
127,bcoz,Because
128,Fab,because
129,Awsm,Awesome
130,gorg,gorgeous
131,luv,love
132,pic,picture
133,Lit,Exciting
134,wanna,want to
135,gonna,going to
136,WTF,What the Fuck
137,ur,your
